         1417213 function calls (1388518 primitive calls) in 4.112 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      135    0.005    0.000    0.006    0.000 c:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\enum.py:254(__set_name__)
      330    0.005    0.000    0.014    0.000 c:\Users\ASUS\OneDrive - Politecnico di Milano\UNIVERSITY\MATERIE\MAGISTRALE\TESI\1-CODE\simulationFull\SimEnvRL\generalScripts\OBGuidance.py:233(<lambda>)
     2909    0.005    0.000    0.008    0.000 c:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\inspect.py:1795(_check_class)
2627/2454    0.005    0.000    0.227    0.000 c:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\typing.py:392(inner)
     1592    0.005    0.000    0.008    0.000 c:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\inspect.py:2712(__init__)
        9    0.005    0.001    0.005    0.001 {built-in method builtins.print}
     3653    0.004    0.000    0.004    0.000 {built-in method _winapi.LCMapStringEx}
      826    0.004    0.000    0.036    0.000 <frozen importlib._bootstrap>:733(_init_module_attrs)
        1    0.004    0.004    0.009    0.009 c:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\site-packages\sympy\polys\polyquinticconst.py:1(<module>)
      963    0.004    0.000    0.006    0.000 c:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\inspect.py:2998(__init__)
5151/5016    0.004    0.000    0.015    0.000 {built-in method __new__ of type object at 0x00007FFBA19F68F0}
3146/2985    0.004    0.000    0.964    0.000 {built-in method builtins.any}
     8162    0.004    0.000    0.004    0.000 c:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\inspect.py:1813(_shadowed_dict)
      795    0.004    0.000    0.006    0.000 c:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\inspect.py:175(get_annotations)
      685    0.004    0.000    0.199    0.000 c:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\typing.py:1242(__init__)
     1305    0.004    0.000    0.007    0.000 <frozen importlib._bootstrap>:372(release)
        1    0.004    0.004    0.004    0.004 c:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\site-packages\sympy\polys\polyquinticconst.py:22(PolyQuintic)
     1040    0.004    0.000    0.013    0.000 c:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\dataclasses.py:760(_get_field)
       75    0.004    0.000    0.327    0.004 c:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\threading.py:323(wait)
        1    0.004    0.004    0.009    0.009 c:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\site-packages\torch\onnx\symbolic_opset9.py:1(<module>)
        1    0.004    0.004    1.377    1.377 c:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\site-packages\torch\_dynamo\utils.py:1(<module>)
     2478    0.004    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:84(_unpack_uint32)
      826    0.004    0.000    0.007    0.000 <frozen importlib._bootstrap_external>:666(_classify_pyc)
    19860    0.004    0.000    0.004    0.000 {built-in method builtins.issubclass}
     7948    0.004    0.000    0.006    0.000 c:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\site-packages\sympy\multipledispatch\conflict.py:15(<genexpr>)
    21604    0.004    0.000    0.004    0.000 {built-in method _operator.index}
     1821    0.004    0.000    0.008    0.000 c:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\dataclasses.py:701(_is_type)
    10199    0.004    0.000    0.006    0.000 c:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\re\_parser.py:261(get)
       51    0.004    0.000    0.005    0.000 c:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\tokenize.py:352(detect_encoding)
      454    0.004    0.000    0.006    0.000 c:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\site-packages\numpy\core\shape_base.py:292(hstack)
      838    0.004    0.000    0.005    0.000 <frozen importlib._bootstrap>:232(__init__)
      116    0.004    0.000    0.064    0.001 c:\Users\ASUS\OneDrive - Politecnico di Milano\UNIVERSITY\MATERIE\MAGISTRALE\TESI\1-CODE\simulationFull\SimEnvRL\generalScripts\ReferenceFrames.py:4(versorsLVLH)
      827    0.004    0.000    0.010    0.000 <frozen importlib._bootstrap_external>:802(spec_from_file_location)
     1652    0.004    0.000    0.010    0.000 <frozen importlib._bootstrap_external>:132(_path_split)
     5843    0.003    0.000    0.003    0.000 <frozen importlib._bootstrap>:491(_verbose_message)
     1231    0.003    0.000    0.083    0.000 c:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\inspect.py:969(getabsfile)
      550    0.003    0.000    0.004    0.000 c:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\site-packages\numpy\core\numeric.py:841(outer)
     6032    0.003    0.000    0.022    0.000 c:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\site-packages\sympy\multipledispatch\conflict.py:19(ambiguous)
      851    0.003    0.000    0.227    0.000 <frozen importlib._bootstrap_external>:1491(_get_spec)
