         1417213 function calls (1388518 primitive calls) in 4.112 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 c:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\site-packages\torch\onnx\_internal\onnxruntime.py:564(OrtExecutionInfoPerSession)
        1    0.000    0.000    0.000    0.000 c:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\site-packages\sympy\polys\agca\modules.py:160(ModuleElement)
        1    0.000    0.000    0.001    0.001 c:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\site-packages\torch\distributed\tensor\parallel\style.py:532(PrepareModuleOutput)
        1    0.000    0.000    0.000    0.000 c:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\site-packages\torch\_dynamo\variables\script_object.py:27(TorchScriptObjectVariable)
        1    0.000    0.000    0.000    0.000 c:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\site-packages\sympy\functions\special\elliptic_integrals.py:13(elliptic_k)
        1    0.000    0.000    0.000    0.000 c:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\site-packages\sympy\matrices\expressions\inverse.py:8(Inverse)
        8    0.000    0.000    0.001    0.000 c:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\site-packages\torch\nn\modules\module.py:631(add_module)
        1    0.000    0.000    0.000    0.000 c:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\site-packages\sympy\matrices\expressions\sets.py:10(MatrixSet)
        1    0.000    0.000    0.000    0.000 c:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\site-packages\sympy\series\sequences.py:1020(SeqAdd)
        1    0.000    0.000    0.000    0.000 c:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\site-packages\torch\_dynamo\source.py:254(EphemeralSource)
        1    0.000    0.000    0.000    0.000 c:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\site-packages\torch\onnx\_internal\diagnostics\infra\_infra.py:173(Stack)
        6    0.000    0.000    0.000    0.000 c:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\site-packages\mpmath\libmp\libmpf.py:410(from_float)
        1    0.000    0.000    0.000    0.000 c:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\site-packages\mpmath\calculus\extrapolation.py:728(cohen_alt_class)
        1    0.000    0.000    0.000    0.000 c:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\site-packages\sympy\core\facts.py:257(Prover)
        1    0.000    0.000    0.000    0.000 c:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\site-packages\sympy\integrals\transforms.py:821(InverseMellinTransform)
        1    0.000    0.000    0.000    0.000 c:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\site-packages\torch\distributed\nn\functional.py:226(_Broadcast)
        1    0.000    0.000    0.000    0.000 c:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\zipfile\__init__.py:1391(__exit__)
        1    0.000    0.000    0.000    0.000 c:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\site-packages\torch\_dynamo\source.py:567(NNModuleSource)
        1    0.000    0.000    0.000    0.000 c:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\site-packages\torch\distributed\fsdp\fully_sharded_data_parallel.py:120(OptimStateKeyType)
        1    0.000    0.000    0.000    0.000 c:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\site-packages\sympy\core\expr.py:3958(AtomicExpr)
        1    0.000    0.000    0.000    0.000 c:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\site-packages\sympy\functions\elementary\hyperbolic.py:1070(csch)
        1    0.000    0.000    0.000    0.000 c:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\site-packages\sympy\functions\elementary\miscellaneous.py:683(Max)
        1    0.000    0.000    0.000    0.000 c:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\site-packages\sympy\functions\special\error_functions.py:2085(Shi)
        1    0.000    0.000    0.000    0.000 c:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\site-packages\torch\onnx\_internal\diagnostics\infra\sarif\_region.py:16(Region)
        1    0.000    0.000    0.001    0.001 c:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\warnings.py:35(_formatwarnmsg_impl)
       24    0.000    0.000    0.000    0.000 c:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\typing.py:1841(__init__)
        1    0.000    0.000    0.000    0.000 c:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\site-packages\sympy\utilities\enumerative.py:92(PartComponent)
        1    0.000    0.000    0.000    0.000 c:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\site-packages\sympy\sets\sets.py:1691(Complement)
        1    0.000    0.000    0.000    0.000 c:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\site-packages\sympy\matrices\expressions\transpose.py:5(Transpose)
        1    0.000    0.000    0.000    0.000 c:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\site-packages\torch\utils\_sympy\symbol.py:21(SymT)
        1    0.000    0.000    0.000    0.000 c:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\site-packages\sympy\sets\sets.py:1784(EmptySet)
       11    0.000    0.000    0.000    0.000 c:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\site-packages\torch\onnx\_deprecation.py:14(deprecated)
        4    0.000    0.000    0.000    0.000 c:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\zipfile\__init__.py:1046(_read1)
        2    0.000    0.000    0.001    0.001 c:\Users\ASUS\OneDrive - Politecnico di Milano\UNIVERSITY\MATERIE\MAGISTRALE\TESI\1-CODE\simulationFull\SimEnvRL\generalScripts\ReferenceFrames.py:58(convert_S_to_LVLH)
        6    0.000    0.000    0.000    0.000 c:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\site-packages\torch\serialization.py:1830(find_class)
        1    0.000    0.000    0.000    0.000 c:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\site-packages\sympy\polys\agca\modules.py:260(FreeModuleElement)
        2    0.000    0.000    0.001    0.001 c:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\site-packages\gymnasium\spaces\box.py:13(_short_repr)
       13    0.000    0.000    0.000    0.000 {method 'repeat' of 'numpy.ndarray' objects}
        1    0.000    0.000    0.000    0.000 c:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\site-packages\sympy\functions\special\hyper.py:1031(HyperRep_sqrts2)
      253    0.000    0.000    0.000    0.000 {method '__array_prepare__' of 'numpy.ndarray' objects}
        1    0.000    0.000    0.002    0.002 c:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\site-packages\torch\distributed\_shard\sharding_plan\api.py:10(ShardingPlan)
       11    0.000    0.000    0.000    0.000 c:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\ntpath.py:236(split)
        1    0.000    0.000    0.000    0.000 c:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\site-packages\sympy\polys\domains\pythonrationalfield.py:9(PythonRationalField)
        1    0.000    0.000    0.000    0.000 c:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\site-packages\sympy\functions\special\elliptic_integrals.py:103(elliptic_f)
        1    0.000    0.000    0.000    0.000 c:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\site-packages\torch\_inductor\codecache.py:1407(CompiledFxGraph)
        1    0.000    0.000    0.000    0.000 c:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\site-packages\torch\utils\_sympy\singleton_int.py:9(SingletonInt)
        2    0.000    0.000    0.000    0.000 c:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\site-packages\sympy\core\operations.py:600(register_handlerclass)
        1    0.000    0.000    0.000    0.000 c:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\site-packages\sympy\polys\matrices\exceptions.py:38(DMNonInvertibleMatrixError)
       51    0.000    0.000    0.000    0.000 {method 'startswith' of 'bytes' objects}
        1    0.000    0.000    0.000    0.000 c:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\zipfile\__init__.py:238(_EndRecData64)
        1    0.000    0.000    0.001    0.001 c:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\site-packages\torch\_prims\context.py:80(TorchRefsMode)
        1    0.000    0.000    0.000    0.000 c:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\site-packages\torch\_dynamo\variables\distributed.py:303(BackwardHookVariable)
        1    0.000    0.000    0.000    0.000 c:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\site-packages\sympy\sets\fancysets.py:1386(CartesianComplexRegion)
       17    0.000    0.000    0.000    0.000 c:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\site-packages\numpy\core\fromnumeric.py:2322(any)
       43    0.000    0.000    0.000    0.000 c:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\site-packages\sympy\multipledispatch\dispatcher.py:120(register)
        1    0.000    0.000    0.000    0.000 c:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\site-packages\sympy\core\numbers.py:4052(ImaginaryUnit)
       21    0.000    0.000    0.000    0.000 c:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\site-packages\sympy\polys\domains\domain.py:379(__call__)
        1    0.000    0.000    0.000    0.000 c:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\site-packages\sympy\geometry\line.py:2504(Line3D)
        1    0.000    0.000    0.000    0.000 c:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\site-packages\sympy\utilities\decorator.py:95(no_attrs_in_subclass)
       12    0.000    0.000    0.000    0.000 c:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\site-packages\sympy\polys\polytools.py:68(_polifyit)
        1    0.000    0.000    0.000    0.000 c:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\site-packages\sympy\functions\elementary\complexes.py:696(arg)
        1    0.000    0.000    0.000    0.000 c:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\site-packages\sympy\tensor\array\sparse_ndim_array.py:11(SparseNDimArray)
        1    0.000    0.000    0.000    0.000 c:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\site-packages\sympy\solvers\ode\single.py:1932(NthOrderReducible)
        1    0.000    0.000    0.000    0.000 c:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\site-packages\sympy\functions\special\error_functions.py:2691(_erfs)
        1    0.000    0.000    0.000    0.000 c:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\site-packages\sympy\functions\special\zeta_functions.py:585(dirichlet_eta)
        1    0.000    0.000    0.000    0.000 c:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\site-packages\torch\utils\checkpoint.py:1099(_checkpoint_hook)
        1    0.000    0.000    0.000    0.000 c:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\site-packages\sympy\functions\combinatorial\numbers.py:2167(reduced_totient)
        1    0.000    0.000    0.001    0.001 c:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\site-packages\torch\distributed\fsdp\wrap.py:569(_ConfigAutoWrap)
        1    0.000    0.000    0.000    0.000 c:\Users\ASUS\OneDrive - Politecnico di Milano\UNIVERSITY\MATERIE\MAGISTRALE\TESI\1-CODE\simulationFull\SimEnvRL\generalScripts\OBGuidance.py:188(interpolate_trajectory)
       34    0.000    0.000    0.000    0.000 c:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\site-packages\mpmath\libmp\libmpf.py:491(from_rational)
        1    0.000    0.000    0.000    0.000 c:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\site-packages\sympy\functions\elementary\trigonometric.py:45(TrigonometricFunction)
       35    0.000    0.000    0.000    0.000 c:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\site-packages\torch\distributed\_shard\sharded_tensor\__init__.py:482(_sharded_op_impl)
        3    0.000    0.000    0.000    0.000 {method 'reshape' of 'torch._C.TensorBase' objects}
        8    0.000    0.000    0.000    0.000 c:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\site-packages\sympy\core\sympify.py:68(_is_numpy_instance)
        1    0.000    0.000    0.000    0.000 c:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\site-packages\sympy\polys\agca\ideals.py:282(ModuleImplementedIdeal)
        1    0.000    0.000    0.000    0.000 c:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\site-packages\torch\_dynamo\convert_frame.py:413(ConvertFrameAssert)
       14    0.000    0.000    0.000    0.000 c:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\site-packages\torch\_numpy\fft.py:13(upcast)
        1    0.000    0.000    0.000    0.000 c:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\site-packages\sympy\solvers\ode\single.py:2194(NthLinearConstantCoeffVariationOfParameters)
        1    0.000    0.000    0.000    0.000 c:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\site-packages\torch\_numpy\_dtypes.py:274(DType)
        1    0.000    0.000    0.001    0.001 c:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\site-packages\torch\_functorch\_aot_autograd\schemas.py:156(SubclassCreationMeta)
        1    0.000    0.000    0.000    0.000 c:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\site-packages\sympy\functions\elementary\miscellaneous.py:801(Min)
       37    0.000    0.000    0.000    0.000 {method 'seek' of '_io.BufferedReader' objects}
       48    0.000    0.000    0.000    0.000 c:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\site-packages\sympy\printing\pretty\pretty_symbology.py:102(<lambda>)
        1    0.000    0.000    0.000    0.000 c:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\site-packages\sympy\functions\special\hyper.py:796(HyperRep)
        1    0.000    0.000    0.000    0.000 c:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\site-packages\sympy\solvers\ode\single.py:294(SinglePatternODESolver)
        1    0.000    0.000    0.000    0.000 c:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\site-packages\torch\_dynamo\device_interface.py:162(Worker)
        1    0.000    0.000    0.000    0.000 c:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\site-packages\sympy\core\expr.py:4103(ExprBuilder)
        1    0.000    0.000    0.000    0.000 c:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\site-packages\sympy\core\function.py:857(UndefSageHelper)
        1    0.000    0.000    0.000    0.000 c:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\site-packages\sympy\functions\special\gamma_functions.py:1154(trigamma)
        1    0.000    0.000    0.000    0.000 c:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\site-packages\sympy\simplify\hyperexpand.py:1035(UnShiftA)
        1    0.000    0.000    0.000    0.000 c:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\site-packages\torch\_functorch\make_functional.py:312(FunctionalModule)
    24/21    0.000    0.000    0.000    0.000 c:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\re\_compiler.py:436(_get_literal_prefix)
        1    0.000    0.000    0.001    0.001 c:\Users\ASUS\OneDrive - Politecnico di Milano\UNIVERSITY\MATERIE\MAGISTRALE\TESI\1-CODE\simulationFull\SimEnvRL\config\RL_config.py:36(latest)
        1    0.000    0.000    0.000    0.000 c:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\site-packages\torch\_dynamo\source.py:340(ConvertIntSource)
        1    0.000    0.000    0.000    0.000 c:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\site-packages\torch\onnx\_internal\diagnostics\infra\context.py:253(RuntimeErrorWithDiagnostic)
       28    0.000    0.000    0.000    0.000 c:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\site-packages\mpmath\rational.py:7(create_reduced)
        1    0.000    0.000    0.000    0.000 c:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\site-packages\torch\distributed\tensor\_sharding_prop.py:53(__init__)
        4    0.000    0.000    0.000    0.000 c:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\site-packages\sympy\utilities\timeutils.py:53(timethis)
        1    0.000    0.000    0.000    0.000 c:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\site-packages\sympy\core\symbol.py:442(Dummy)
        1    0.000    0.000    0.000    0.000 c:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\site-packages\sympy\polys\agca\modules.py:44(Module)
        3    0.000    0.000    0.000    0.000 c:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\site-packages\scipy\integrate\_ivp\base.py:4(check_arguments)
        2    0.000    0.000    0.002    0.001 C:\Users\ASUS\AppData\Roaming\Python\Python312\site-packages\colorama\ansitowin32.py:81(__init__)
        1    0.000    0.000    0.000    0.000 c:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\site-packages\torch\distributed\_composable\fsdp\_fsdp_param_group.py:43(FSDPCommContext)
        1    0.000    0.000    0.002    0.002 c:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\site-packages\torch\onnx\_internal\onnxruntime.py:687(OrtBackendOptions)
       31    0.000    0.000    0.000    0.000 c:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\site-packages\sympy\integrals\laplace.py:48(DEBUG_WRAP)
        8    0.000    0.000    0.000    0.000 c:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\site-packages\torch\_numpy\random.py:44(deco_stream)
        7    0.000    0.000    0.000    0.000 c:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\site-packages\torch\onnx\symbolic_helper.py:1021(_interpolate_helper)
        1    0.000    0.000    0.000    0.000 c:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\site-packages\torch\_dynamo\variables\torch_function.py:62(TorchFunctionModeStackVariable)
        1    0.000    0.000    0.000    0.000 c:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\copy.py:200(_deepcopy_tuple)
        1    0.000    0.000    0.000    0.000 c:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\site-packages\torch\optim\adam.py:91(__setstate__)
        1    0.000    0.000    0.000    0.000 c:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\site-packages\sympy\functions\combinatorial\numbers.py:2225(primepi)
        1    0.000    0.000    0.000    0.000 c:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\site-packages\sympy\functions\special\polynomials.py:561(chebyshevu)
        1    0.000    0.000    0.000    0.000 c:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\site-packages\torch\_dynamo\source.py:396(DefaultsSource)
        1    0.000    0.000    0.542    0.542 c:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\site-packages\torch\distributed\tensor\_ops\_conv_ops.py:1(<module>)
        2    0.000    0.000    0.000    0.000 c:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\ast.py:477(generic_visit)
        1    0.000    0.000    0.000    0.000 c:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\site-packages\sympy\tensor\array\dense_ndim_array.py:160(MutableDenseNDimArray)
       20    0.000    0.000    0.000    0.000 c:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\site-packages\torch\_dynamo\variables\builder.py:339(<genexpr>)
        5    0.000    0.000    0.094    0.019 c:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\site-packages\torch\_dynamo\trace_rules.py:3346(_recompile_re)
        1    0.000    0.000    0.000    0.000 c:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\site-packages\torch\fx\passes\fake_tensor_prop.py:13(FakeTensorProp)
        1    0.000    0.000    0.000    0.000 c:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\site-packages\sympy\functions\combinatorial\numbers.py:1932(mobius)
        1    0.000    0.000    0.000    0.000 c:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\site-packages\sympy\functions\special\error_functions.py:2191(Chi)
        1    0.000    0.000    0.000    0.000 c:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\site-packages\sympy\functions\special\polynomials.py:773(legendre)
        1    0.000    0.000    0.001    0.001 c:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\site-packages\torch\utils\_triton.py:6(has_triton_package)
      180    0.000    0.000    0.000    0.000 c:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\textwrap.py:479(predicate)
        1    0.000    0.000    0.000    0.000 c:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\site-packages\torch\_dynamo\variables\lists.py:314(CommonListMethodsVariable)
        1    0.000    0.000    0.000    0.000 c:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\site-packages\torch\_inductor\codecache.py:289(PersistentCache)
        1    0.000    0.000    0.000    0.000 c:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\site-packages\numpy\core\fromnumeric.py:3214(_size_dispatcher)
        1    0.000    0.000    0.000    0.000 c:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\site-packages\stable_baselines3\common\save_util.py:181(open_path)
       46    0.000    0.000    0.000    0.000 c:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\site-packages\sympy\core\logic.py:92(fuzzy_bool)
        1    0.000    0.000    0.000    0.000 c:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\site-packages\sympy\sets\powerset.py:10(PowerSet)
        1    0.000    0.000    0.000    0.000 c:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\site-packages\torch\_dynamo\variables\functions.py:790(CollectiveFunctionRewriteVariable)
        1    0.000    0.000    0.000    0.000 c:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\site-packages\torch\_functorch\_aot_autograd\runtime_wrappers.py:590(AOTDispatchSubclassWrapper)
        6    0.000    0.000    0.000    0.000 c:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\site-packages\torch\nn\init.py:72(calculate_gain)
        1    0.000    0.000    0.000    0.000 c:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\site-packages\torch\_dynamo\symbolic_convert.py:178(SpeculationLog)
        6    0.000    0.000    0.000    0.000 c:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\zipfile\__init__.py:387(__init__)
        3    0.000    0.000    0.000    0.000 c:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\site-packages\numpy\lib\twodim_base.py:234(diag)
        1    0.000    0.000    0.000    0.000 c:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\site-packages\torch\onnx\_internal\diagnostics\infra\sarif\_web_response.py:15(WebResponse)
        1    0.000    0.000    0.000    0.000 c:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\site-packages\stable_baselines3\common\policies.py:63(__init__)
        1    0.000    0.000    0.000    0.000 c:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\site-packages\sympy\matrices\expressions\special.py:10(ZeroMatrix)
        1    0.000    0.000    0.000    0.000 c:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\site-packages\torch\_dynamo\variables\dicts.py:544(FrozensetVariable)
        3    0.000    0.000    0.002    0.001 c:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\site-packages\mpmath\ctx_base.py:42(__init__)
        6    0.000    0.000    0.000    0.000 c:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\site-packages\sympy\utilities\misc.py:181(debug_decorator)
        1    0.000    0.000    0.000    0.000 c:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\site-packages\sympy\core\relational.py:820(_Inequality)
        1    0.000    0.000    0.000    0.000 c:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\site-packages\torch\onnx\_internal\fx\registration.py:37(OpName)
        1    0.000    0.000    0.000    0.000 c:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\site-packages\scipy\io\matlab\_mio5.py:216(read_file_header)
        1    0.000    0.000    0.000    0.000 c:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\site-packages\torch\distributed\tensor\parallel\style.py:161(RowwiseParallel)
        1    0.000    0.000    0.000    0.000 c:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\site-packages\sympy\functions\elementary\miscellaneous.py:35(IdentityFunction)
        1    0.000    0.000    0.000    0.000 c:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\site-packages\torch\_dynamo\guards.py:2095(Config)
       24    0.000    0.000    0.000    0.000 c:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\site-packages\torch\_dynamo\variables\lazy.py:153(_create_realize_and_forward)
        3    0.000    0.000    0.000    0.000 c:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\contextlib.py:141(__exit__)
        1    0.000    0.000    0.000    0.000 c:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\site-packages\torch\_dynamo\source.py:285(TensorPropertySource)
        1    0.000    0.000    0.000    0.000 c:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\site-packages\sympy\functions\special\beta_functions.py:282(betainc_regularized)
       50    0.000    0.000    0.000    0.000 c:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\typing.py:1554(<genexpr>)
        1    0.000    0.000    0.000    0.000 c:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\site-packages\torch\distributions\constraints.py:355(check)
        1    0.000    0.000    0.000    0.000 c:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\site-packages\mpmath\calculus\inverselaplace.py:39(FixedTalbot)
        1    0.000    0.000    0.000    0.000 c:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\site-packages\sympy\functions\special\polynomials.py:1006(hermite)
        1    0.000    0.000    2.437    2.437 c:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\site-packages\torch\distributed\_composable\fsdp\fully_shard.py:1(<module>)
        1    0.000    0.000    0.000    0.000 c:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\site-packages\sympy\solvers\diophantine\diophantine.py:40(DiophantineSolutionSet)
        1    0.000    0.000    0.000    0.000 c:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\site-packages\sympy\core\symbol.py:510(Wild)
       28    0.000    0.000    0.000    0.000 c:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\site-packages\torch\_dynamo\decorators.py:262(<genexpr>)
        1    0.000    0.000    0.000    0.000 c:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\site-packages\gymnasium\envs\registration.py:490(_find_spec)
       28    0.000    0.000    0.000    0.000 c:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\site-packages\mpmath\rational.py:31(__new__)
        1    0.000    0.000    0.000    0.000 c:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\site-packages\sympy\polys\domains\gaussiandomains.py:244(GaussianDomain)
       13    0.000    0.000    0.000    0.000 c:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\site-packages\torch\_numpy\_reductions_impl.py:29(_deco_axis_expand)
        1    0.000    0.000    0.000    0.000 c:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\site-packages\torch\_dynamo\types.py:66(DynamoGuardHook)
      3/1    0.000    0.000    0.000    0.000 c:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\site-packages\gymnasium\core.py:422(metadata)
        9    0.000    0.000    0.001    0.000 c:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\site-packages\sympy\assumptions\assume.py:175(__new__)
       88    0.000    0.000    0.000    0.000 {method 'find' of 'bytearray' objects}
        1    0.000    0.000    0.000    0.000 c:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\site-packages\sympy\series\formal.py:1498(FiniteFormalPowerSeries)
